symbol,company_name,lat,lon,country,state
ZVO,Zovio,33.3062031,-111.8411851,us,Arizona
ZNH,Frontier Airlines,39.7392364,-104.984862,us,Colorado
ZEUS,Olympic Steel,41.4996574,-81.6936772,us,Ohio
YORW,The Advisory Board Company,38.8950368,-77.0365427,us,District of Columbia
YNDX,Yandex,55.7504461,37.6174943,ru,Москва
XRX,ZeroFox,39.2908816,-76.610759,us,Maryland
XPL,Voltari,40.7127281,-74.0060152,us,New York
XP,XP Inc.,-23.5506507,-46.6333824,br,São Paulo
XONE,The Honest Company,34.0536909,-118.242766,us,California
XLRN,Acceleron Pharma,42.3750997,-71.1056157,us,Massachusetts
WY,Arhaus,41.264778,-81.513171,us,Ohio
WWR,Westwater Resources,39.579155,-104.8769227,us,Colorado
WWD,"Woodward, Inc.",40.5508527,-105.0668085,us,Colorado
WVVI,Willamette Valley Vineyards,44.8431766,-122.9528708,us,Oregon
WTFC,Wintrust Financial,41.9941334,-87.8756737,us,Illinois
WMK,West Marine,26.1223084,-80.1433786,us,Florida
WLTW,Willis Towers Watson,51.5073359,-0.12765,gb,England
WKHS,Workhorse Group,39.2681145,-84.4132779,us,Ohio
WIX,Wix.com,32.0852997,34.7818064,il,
WINA,Winmark,44.9772995,-93.2654692,us,Minnesota
WIA,Xiao-i,31.2323437,121.4691024,cn,
WEYS,Weyco Group,43.1352881,-87.9356423,us,Wisconsin
WETF,WisdomTree Investments,40.6120637,-74.0597827,us,New York
WB,Weibo Corporation,39.9057136,116.3912972,cn,
WAT,Mattersight Corporation,41.8755616,-87.6244212,us,Illinois
WAFD,Washington Federal,47.6038321,-122.330062,us,Washington
VXRT,Vaxart,37.6535403,-122.4168664,us,California
VSEC,VSE Corporation,38.8051095,-77.0470229,us,Virginia
VRNT,Verint Systems,40.7934322,-73.4151214,us,New York
VRNS,Varonis Systems,40.6120637,-74.0597827,us,New York
VOD,Vodafone,51.4020243,-1.3242212,gb,England
VMD,Vimeo,40.7127281,-74.0060152,us,New York
VJET,Voxeljet,48.3551962,10.9786498,de,Bayern
VIRT,Virtu Financial,40.6120637,-74.0597827,us,New York
VIRC,Proterra (bus manufacturer),37.5780965,-122.3473099,us,California
VIAV,Vivid Seats,41.8755616,-87.6244212,us,Illinois
VEON,VEON,52.3730796,4.8924534,nl,Noord-Holland
VECO,Veeco,40.7765026,-73.4670022,us,New York
VCNX,Vaccitech,51.71515385,-1.2213652371635415,gb,England
VCEL,Vericel,42.3750997,-71.1056157,us,Massachusetts
VC,Visteon,42.2207982,-83.4841464,us,Michigan
VALU,Value Line,40.7127281,-74.0060152,us,New York
UTSI,UTStarcom,39.9057136,116.3912972,cn,北京市
URBN,Urban Outfitters,39.9439109,-75.18376416294248,us,Pennsylvania
ULBI,Ultralife Corporation,43.0467301,-77.0952516,us,New York
UI,Ubiquiti,40.7127281,-74.0060152,us,New York
UFPT,UFP Technologies,42.8125913,-70.8772751,us,Massachusetts
UCBI,United Community Bank,34.851354,-82.3984882,us,South Carolina
UBX,Unity Biotechnology,37.6535403,-122.4168664,us,California
UBFO,United Security Bancshares,36.7394421,-119.7848307,us,California
TZOO,Travelzoo,40.7127281,-74.0060152,us,New York
TXN,Meade Instruments,36.9092773,-121.7529071,us,California
TWNK,Hostess Brands,38.9697458,-94.7845837,us,Kansas
TW,Tradeweb,40.6120637,-74.0597827,us,New York
TURN,180 Degree Capital,40.8164458,-74.2210643,us,New Jersey
TTWO,Take-Two Interactive,40.7127281,-74.0060152,us,New York
TTGT,TechTarget,42.3370414,-71.2092214,us,Massachusetts
TTD,The Trade Desk,-23.3401717,-51.1320325,br,Paraná
TSQ,Bsquare,47.6038321,-122.330062,us,Washington
TSM,Actions Semiconductor,22.273734,113.5721327,cn,
TSG,The Stars Group,43.6534817,-79.3839347,ca,Ontario
TRVG,Trivago,51.2254018,6.7763137,de,Nordrhein-Westfalen
TRUP,Trupanion,47.6503869,-122.3066356873096,us,Washington
TRUE,TrueCar,-17.8208949,-63.2152949,bo,Santa Cruz
TRST,TrustCo Bank,42.8682502,-73.9282787,us,New York
TRIL,Trellix,37.4332273,-121.8989248,us,California
TRHC,Taboola,40.6120637,-74.0597827,us,New York
TPL,Jakks Pacific,-17.8208949,-63.2152949,bo,Santa Cruz
TPCO,Wish (company),37.9264347,14.36128934825274,it,Sicilia
TLRY,Tilray,40.7127281,-74.0060152,us,New York
TILE,"Interface, Inc.",33.7489924,-84.3902644,us,Georgia
TEAM,Atlassian,-33.8698439,151.2082848,au,New South Wales
TCX,Tucows,43.6534817,-79.3839347,ca,Ontario
TCOM,Trip.com Group,31.2323437,121.4691024,cn,
TCMD,BlackLine Systems,34.1684364,-118.6058382,us,California
TATT,TAT Technologies,31.8117747,34.7803882,il,
SYKE,Sykes Enterprises,27.9477595,-82.458444,us,Florida
SWTX,Vringo,40.7127281,-74.0060152,us,New York
SWKS,Skyworks Solutions,33.6856969,-117.8259819,us,California
STRT,TTEC,39.6482059,-104.9879641,us,Colorado
STRO,Sutro Biopharma,37.6535403,-122.4168664,us,California
STCN,Steel Connect,35.9824598,-86.5199492,us,Tennessee
SRCE,1st Source,41.6833813,-86.2500066,us,Indiana
SQBG,Sequenom,32.7174202,-117.1627728,us,California
SPTN,SpartanNash,42.81928795,-85.72791602258194,us,Michigan
SPSC,SPS Commerce,44.9772995,-93.2654692,us,Minnesota
SPNS,Sapiens International Corporation,32.01599895,34.78595635978459,il,
SOR,Sourcefire,39.1938429,-76.86460919353361,us,Maryland
SONG,AkzoNobel,52.3730796,4.8924534,nl,Noord-Holland
SNN,Smith & Wesson,42.1018764,-72.5886727,us,Massachusetts
SNFCA,Commercial National Financial,40.317287,-79.3840301,us,Pennsylvania
SNES,SenesTech,33.4484367,-112.074141,us,Arizona
SNE,Sonder Corp.,37.7790262,-122.419906,us,California
SNDR,APC by Schneider Electric,41.4831567,-71.5514497,us,Rhode Island
SMSI,Smith Micro Software,40.4416941,-79.9900861,us,Pennsylvania
SMP,Standard BioTools,37.6535403,-122.4168664,us,California
SLGN,Silgan Holdings,41.0534302,-73.5387341,us,
SLAB,Silicon Labs,30.2711286,-97.7436995,us,
SKYW,"SkyWest, Inc.",37.104153,-113.5841313,us,Utah
SIVB,SVB Financial Group,40.6120637,-74.0597827,us,New York
SILC,Silicom,32.1773471,34.907459,il,מחוז המרכז
SIGI,Erie Insurance Group,42.1539294,-80.0789216,us,Pennsylvania
SIGA,SIGA Technologies,40.7127281,-74.0060152,us,New York
SIFY,Shift Technologies,37.7790262,-122.419906,us,California
SFM,Sprouts Farmers Market,33.675326159007646,-111.96362275735372,us,Arizona
SF,Sterling Financial Corporation,47.6571934,-117.42351,us,Washington
SENEA,Seneca Foods,43.0993,-77.443014,us,New York
SEIC,SEI Investments Company,40.1317722,-75.4596319,us,Pennsylvania
SEDG,SolarEdge,32.1676842,34.83082794429146,il,
SECO,Secoo,39.9057136,116.3912972,cn,
SEAC,SeaChange International,34.48074149999999,-118.1868378638664,us,California
SE,Subsea 7,51.35746445,-0.1736268949695033,gb,England
SDI,Sportradar,47.4250593,9.3765878,ch,Sankt Gallen
SDGR,"Schrödinger, Inc.",40.7127281,-74.0060152,us,New York
SDC,SmileDirectClub,36.1622767,-86.7742984,us,Tennessee
SCKT,AST SpaceMobile,31.9973662,-102.077948,us,
SCHN,Schnitzer Steel,45.5202471,-122.674194,us,Oregon
SBNY,Signature Bank,40.6120637,-74.0597827,us,New York
SBE,Swvl,25.07428235,55.18853865430702,ae,
SBCF,LegacyTexas Bank,33.0136764,-96.6925096,us,Texas
RYAAY,Ryanair,53.4720536,-6.223144166844677,ie,
RWLK,Mazor Robotics,32.505968,34.90621508494272,il,מחוז חיפה
RUTH,Ruth's Hospitality Group,28.5977707,-81.3510264,us,Florida
RTW,Qiwi,35.1748976,33.3638568,cy,
RS,Algoma Steel,46.52391,-84.320068,ca,Ontario
RRGB,BurgerFi,26.1223084,-80.1433786,us,Florida
RMTI,Rockwell Medical,42.5246873,-83.5363637,us,Michigan
RMCF,Rocky Mountain Chocolate Factory,37.2769484,-107.8766,us,Colorado
RMBL,Bumble,30.2711286,-97.7436995,us,
RLGT,Covenant Logistics,35.0457219,-85.3094883,us,Tennessee
RGLS,Regulus Therapeutics,32.7174202,-117.1627728,us,California
RGLD,Royal Gold,39.7392364,-104.984862,us,Colorado
RGEN,Repligen,42.3756401,-71.2358004,us,Massachusetts
REGI,Rent the Runway,40.7127281,-74.0060152,us,New York
REAL,The RealReal,37.7790262,-122.419906,us,California
RDWR,Radware,41.0795325,-74.1594909,us,New Jersey
RDI,Learning Tree International,38.9695316,-77.3859479,us,Virginia
RDFN,Redfin,47.6503869,-122.3066356873096,us,Washington
